テスト内容	テストタイプ	実装ステータス
複数のノートをPDFファイルとして一括エクスポートできる	正常系	未実装
各ノートが個別のPDFファイルとしてエクスポートされる	正常系	未実装
各PDFに正しい内容が含まれる	正常系	未実装
各PDFにタイトル、作成日時、更新日時が含まれる	正常系	未実装
各PDFにMarkdownがレンダリングされた状態で含まれる	正常系	未実装
画像を含むノートを一括エクスポートし、各PDFに画像が埋め込まれる	正常系	未実装
各ファイル名がノートのタイトルから生成される	正常系	未実装
タイトルがない場合、ファイル名が作成日時から生成される	正常系	未実装
ユーザーにディレクトリを選択させる	正常系	未実装
エクスポート後にすべてのファイルが保存される	正常系	未実装
空のノートIDリストで何もエクスポートされない	境界値	未実装
一部のノートが存在しない場合、存在するノートのみエクスポートされる	境界値	未実装
無効なノートID形式でバリデーションエラーが返される	異常系	未実装
エクスポートに失敗した場合、ExternalServiceErrorが返される	異常系	未実装
ファイル保存に失敗した場合、ExternalServiceErrorが返される	異常系	未実装
DB取得に失敗した場合、RepositoryErrorが返される	異常系	未実装
