テスト内容	テストタイプ	実装ステータス
ファイルを指定して画像をアップロードできる	正常系	未実装
ファイル選択ダイアログから画像を選択してアップロードできる	正常系	未実装
JPEGファイルをアップロードできる	正常系	未実装
PNGファイルをアップロードできる	正常系	未実装
GIFファイルをアップロードできる	正常系	未実装
WebPファイルをアップロードできる	正常系	未実装
画像の寸法が取得される	正常系	未実装
画像が最適化される	正常系	未実装
IDが自動生成される	正常系	未実装
ストレージに保存される	正常系	未実装
メタデータがDBに保存される	正常系	未実装
MIMEタイプが不正な場合ValidationErrorを投げる	異常系	未実装
ファイルサイズが制限を超える場合ValidationErrorを投げる	異常系	未実装
ファイル保存エラーでSystemErrorを投げる	異常系	未実装
最大サイズ（10MB）ちょうどの画像をアップロードできる	境界値	未実装
最大サイズを1バイト超えた場合例外を投げる	境界値	未実装
非常に小さい画像（1x1px）をアップロードできる	境界値	未実装
非常に大きい画像をリサイズしてアップロードできる	境界値	未実装
