テスト内容	テストタイプ	実装ステータス
設定を部分更新できる	正常系	未実装
defaultSortByのみを更新できる	正常系	未実装
autoSaveIntervalのみを更新できる	正常系	未実装
revisionIntervalのみを更新できる	正常系	未実装
editorFontSizeのみを更新できる	正常系	未実装
editorThemeのみを更新できる	正常系	未実装
複数のフィールドを同時に更新できる	正常系	未実装
更新時にupdatedAtが現在時刻に更新される	正常系	未実装
設定が存在しない場合、デフォルト設定から更新される	正常系	未実装
autoSaveIntervalが1000（最小値）の場合、正常に更新できる	境界値	未実装
autoSaveIntervalが60000（最大値）の場合、正常に更新できる	境界値	未実装
revisionIntervalが60000（最小値）の場合、正常に更新できる	境界値	未実装
revisionIntervalが3600000（最大値）の場合、正常に更新できる	境界値	未実装
editorFontSizeが10（最小値）の場合、正常に更新できる	境界値	未実装
editorFontSizeが32（最大値）の場合、正常に更新できる	境界値	未実装
無効なdefaultSortByでバリデーションエラーが返される	異常系	未実装
autoSaveIntervalが1000未満でバリデーションエラーが返される	異常系	未実装
autoSaveIntervalが60000を超える場合、バリデーションエラーが返される	異常系	未実装
revisionIntervalが60000未満でバリデーションエラーが返される	異常系	未実装
revisionIntervalが3600000を超える場合、バリデーションエラーが返される	異常系	未実装
editorFontSizeが10未満でバリデーションエラーが返される	異常系	未実装
editorFontSizeが32を超える場合、バリデーションエラーが返される	異常系	未実装
無効なeditorThemeでバリデーションエラーが返される	異常系	未実装
DB取得または保存に失敗した場合、RepositoryErrorが返される	異常系	未実装
