ドメイン名	ユースケース名	実装ステータス	テスト実装ステータス
Note	createNote	未実装	未実装
Note	getNote	未実装	未実装
Note	getNotes	未実装	未実装
Note	updateNote	未実装	未実装
Note	deleteNote	未実装	未実装
Note	searchNotes	未実装	未実装
Note	searchNotesByTags	未実装	未実装
Note	combinedSearch	未実装	未実装
Note	exportNoteAsMarkdown	未実装	未実装
Note	exportNotesAsMarkdown	未実装	未実装
Tag	getTags	未実装	未実装
Tag	extractTagsFromContent	未実装	未実装
Tag	syncNoteTags	未実装	未実装
Tag	getTagsByNote	未実装	未実装
Tag	findNoteIdsByTag	未実装	未実装
Tag	findNoteIdsByTags	未実装	未実装
Tag	deleteTagsByNote	未実装	未実装
Revision	createRevision	未実装	未実装
Revision	getRevisions	未実装	未実装
Revision	getRevision	未実装	未実装
Revision	restoreRevision	未実装	未実装
Revision	deleteRevisionsByNote	未実装	未実装
Revision	shouldCreateAutoRevision	未実装	未実装
Database	openDatabase	未実装	未実装
Database	createDatabase	未実装	未実装
Database	closeDatabase	未実装	未実装
Database	getCurrentDatabase	未実装	未実装
Database	getDatabaseInfo	未実装	未実装
Database	reopenLastDatabase	未実装	未実装
Database	getRecentDatabases	未実装	未実装
Image	uploadImage	未実装	未実装
Image	getImage	未実装	未実装
Image	getImageUrl	未実装	未実装
Image	deleteImage	未実装	未実装
Image	getAllImages	未実装	未実装
Image	cleanupUnusedImages	未実装	未実装
Image	getImageMarkdown	未実装	未実装
Settings	getSettings	未実装	未実装
Settings	updateSettings	未実装	未実装
Settings	updateGeneralSettings	未実装	未実装
Settings	updateEditorSettings	未実装	未実装
Settings	updateRevisionSettings	未実装	未実装
Settings	updateImageSettings	未実装	未実装
Settings	resetSettings	未実装	未実装
Settings	exportSettings	未実装	未実装
Settings	importSettings	未実装	未実装
